Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Betteraves vinaigrette et tartine de fromage frais;Cari à l'indienne (sauté de dinde, curry, coriandre);Haricots verts et noisettes de polenta;Fromage frais aux fruits;
;Carry à l'indienne;Courgettes et riz;Yaourt aux fruits mixés;Raisin
;Carry à l'indienne;Ratatouille et riz;Fromage frais aux fruits;Banane
Chou chinois et dés d'emmental;Carry à l'indienne;Pommes smiles;;Purée de pommes
Salade verte vinaigrette et cheddar;Cassoulet;;;Purée de pommes
Potage de légumes verts;Cassoulet;;Fol Epi;Pomme
Concombre mozarella;Cassoulet;Haricots blanc tomaté;;Purée de pommes
Carottes râpées;Chakalaka;Riz;Emmental;Banane et pâte à tartiner du Chef
;Chakalaka au poulet;;Petit roulé;Banane sauce chocolat
Salade verte vinaigrette;Charcuterie (Jambon blanc, saucisson à l'ail, saucisson sec);Pommes de terre et fromage à raclette;Yaourt nature sucré Les Vergers;
Salade Iceberg;Cheeseburger;Frites;Petit Suisse;Abricots
Cola;Cheeseburger;Frites;;Brownie
Cola;Cheeseburger;Frites;;Brownie
Salade Iceberg;Cheeseburger;Frites;;Pêche
Jus de pommes;Cheeseburger;Frites;Petit Filou;Cookie
Salade iceberg;Cheeseburger;Frites;Smoothie au kiwi;Cookie
Salade verte et oignons;Cheeseburger;Pommes noisette;;Milk shake chocolat-chantilly
Jus multifruits;Cheeseburger;Frites;Mousse au chocolat au lait;Cookie
Jus de pommes;Cheeseburger;Pomme smile;Petit Filou;Kiwi
Tomates cerise;Cheeseburger;Pommes noisettes;Mousse au chocolat au lait;Petit Beurre
Salade iceberg;Cheeseburger;Frites;Petit filou;Clémentine
Salade iceberg;Cheeseburger;Frites;Camembert;Pomme
Jus multifruits;Cheeseburger;Frites;Mousse au chocolat au lait;Cookie
Melon;Cheeseburger;Pommes smiles;;Glace
Jus de pommes;Cheeseburger;Pomme smile;Petit filou;Kiwi
Carottes râpées à la vanille;Chili con carne;Riz;Carré;Mousse au chocolat
Potage carottes curry;Chili sin carne;Riz;;Banane
Carottes râpées et dés d'emmental;Chili sin carne;Riz;;Crêpe à la confiture
Pastèque;Chili sin carne;Riz bio/CE;Yaourt aux fruits mixés;
;Chili sin carne;Riz;Brie;Banane
Carottes râpées et dés d'emmental;Chili sin carne;Riz;;Crêpe à la confiture
Concombre et dés d'emmental;Chili sin carne;;;Gâteau façon financier aux amandes
Potage de chou-fleur à la vanille;Chili sin carne;Riz;;Kiwi
Velouté de légumes et fromage frais;Chili Sin Carne;;Emmental râpé;Poire Bio
;Chili sin carne;Riz;Edam;Abricots
Potage de légumes verts au fromage frais;Chili Sin Carne;;;Banane
Potage légumes verts;Chili sin carne;;Emmental râpé;Clémentine
Salade d'endives, pommes de terre et œuf;Chili sin carne;Riz;Mimolette;Tarte au chocolat
Guacamole et chips tortilla;Chili sin carne;Riz et légumes;Chaussée aux moines;Ile flottante
Tomate vinaigrette;Chili sin carne;Riz;Flan vanille nappé caramel;
Guacamole et chips tortilla;Chili sin carne;Légumes / Riz;Gouda;Cake mangue-ananas
Radis et beurre;Chili sin carne;Riz;Tomme noire;Banane sauce chocolat
Salade verte et croûtons;Chili sin carne (maïs, haricots rouges, tomate);Riz;Mimolette;Crêpe et cassonade
Salade verte et croûtons;Chili sin carne (maïs, haricots rouges, tomate);Riz;Mimolette;Crêpe et cassonade
Carottes râpées et emmental;Chili Sin Carne Riz Bio et légumes;;;Gâteau aux pommes
;Chipolata;Fusilli;Fromage frais;Pêche
Salade vinaigrette et mozzarella;Chipolatas;Purée de pommes de terre;;Compote pomme fraise
Sandwich jambon-fromage;Chips;Compote;Nectarine;Biscuit
Tomates vinaigrette;Choucroute de la mer;;P'tit Louis;Banane
;Clafoutis au fromage de brebis (œufs bio);Pommes paillasson;Yaourt aux fruits mixés;Banane Bio Commerce Equitable
Carottes râpées  vinaigrette passion;Clafoutis courgettes, quinoa et fromage de brebis;;;Crème dessert vanille
Salade et croûtons;Clafoutis printanier mozzarela;;;Glace
Céleri sauce cocktail;Colin d'Alaska et citron;Semoule;Yaourt myrtille;
Betteraves vinaigrette;Colin d'Alaska pané;Gratin de chou-fleur et pommes de terre;;Fromage frais aux fruits
Velouté de carottes, lentilles et muscade;Colin d'Alaska pané;Haricots beurre;Emmental;Banane
Mâche et dés de fromage;Colin d'Alaska pané;Brocolis / Coquillettes;Yaourt nature sucré;
Tartine du potager (petits pois et maïs);Colin d'Alaska pané;Purée de courgettes;Pont l'Evêque;Fraises
Velouté de potiron;Colin d'Alaska pané;Noisette de polenta et salade verte;;Fromage blanc
Pomelos et sucre;Colin d'Alaska pané et citron;Purée d'épinards;Riz au lait;
Carottes râpées;Colin d'Alaska pané sauce tomate;Riz;Yaourt fraise Le P'tit Gallo;
Salade verte vinaigrette;Colin d'Alaska pané sauce tomate;Riz;Yaourt nature sucré Le P'tit Gallo;
Tomates vinaigrette;Colin d'Alaska sauce courgette;Quinoa;Yaourt nature sucré Le P'tit Gallo;
Houmous de chou-fleur et gressins;Colin d'Alaska sauce crème;Pomme paillasson;Emmental;Poire
Salade de chou blanc, pommes de terre et maïs;Colin d'Alaska sauce curry;Brunoise de légumes / Semoule;Yaourt Malo vanille;
Carottes râpées;Colin d'Alaska sauce Retour des Indes;Semoule;Camembert;Banane
Betterave vinaigrette;Colin d'Alaska sauce Retour des Indes;Semoule;Saint-Nectaire;Orange
Salade de tortis 3 couleurs;Colin d'Alaska sauce tomate;Petits pois;Tomme noire;Pomme
Chou blanc épices sésame vinaigrette;Colin d'Alaska sauce vatapa;Semoule;Tomme blanche;Purée de pommes
Céleri rémoulade, pommes Granny et noix;Colin sauce créole;Pommes paillasson aux petits légumes;;Fromage blanc
;Colin sauce cubaine;Tortis Bio;Brie;Kiwi
Potage de patate douce au fromage frais;Colin sauce cubaine;Petits pois/Coquillettes Bio;;Poire
Pastèque;Colin sauce espagnole (tomates, poivron, épices);Semoule;Yaourt nature sucré Le P'tit Gallo;
Potage de potiron-châtaigne;Colin sauce persane;Coquillettes;Cheddar et mozzarella râpés;Banane
Melon;Colin sauce persane;Purée de pommes de terre;Yaourt aux fruits mixés;
